(  0.0 0  ) 
(  500.0 0  ) 
(  1000.0 0  ) 
(  1500.0 0  ) 
(  2000.0 0  ) 
(  2500.0 0  ) 
(  3000.0 0  ) 
(  3500.0 0  ) 
(  4000.0 0  ) 
(  4500.0 0  ) 
(  5000.0 0  ) 
(  5500.0 0  ) 
(  6000.0 0  ) 
(  6500.0 0  ) 
(  7000.0 0  ) 
(  7500.0 0  ) 
(  8000.0 0.0657131405185325  ) 
(  8500.0 0.13248106659916026  ) 
(  9000.0 0.20030377824188328  ) 
(  9500.0 0.26918127544670156  ) 
(  10000.0 0.3391135582136151  ) 
(  10500.0 0.4101006265426239  ) 
(  11000.0 0.482142480433728  ) 
(  11500.0 0.5552391198869269  ) 
(  12000.0 0.6293905449022215  ) 
(  12500.0 0.7045967554796109  ) 
(  13000.0 0.780857751619096  ) 
(  13500.0 0.8581735333206759  ) 
(  14000.0 0.9365441005843511  ) 
(  14500.0 1  ) 
(  15000.0 1  ) 
(  15500.0 1  ) 
(  16000.0 1  ) 
(  16500.0 1  ) 
(  17000.0 1  ) 
(  17500.0 1  ) 
(  18000.0 1  ) 
(  18500.0 1  ) 
(  19000.0 1  ) 
(  19500.0 1  ) 
(  20000.0 1  ) 
(  20500.0 1  ) 
(  21000.0 1  ) 
(  21500.0 1  ) 
(  22000.0 1  ) 
(  22500.0 1  ) 
(  23000.0 1  ) 
(  23500.0 1  ) 
(  24000.0 1  ) 
(  24500.0 1  ) 
(  25000.0 1  ) 
(  25500.0 0.9817424645466728  ) 
(  26000.0 0.9520491659848151  ) 
(  26500.0 0.9232439721017078  ) 
(  27000.0 0.8952918160507448  ) 
(  27500.0 0.8681593448234963  ) 
(  28000.0 0.841814819710019  ) 
(  28500.0 0.8162280234392569  ) 
(  29000.0 0.7913701734920635  ) 
(  29500.0 0.7672138411223286  ) 
(  30000.0 0.7437328756606627  ) 
(  30500.0 0.7209023337104441  ) 
(  31000.0 0.6986984128781681  ) 
(  31500.0 0.6770983897092471  ) 
(  32000.0 0.6560805615270031  ) 
(  32500.0 0.6356241918968135  ) 
(  33000.0 0.6157094594594597  ) 
(  33500.0 0.5963174098978752  ) 
(  34000.0 0.5774299108198999  ) 
(  34500.0 0.5590296093564637  ) 
(  35000.0 0.5410998922900194  ) 
(  35500.0 0.5236248485421209  ) 
(  36000.0 0.5065892338619611  ) 
(  36500.0 0.4899784375695118  ) 
(  37000.0 0.47377845121776324  ) 
(  37500.0 0.4579758390485417  ) 
(  38000.0 0.44255771012553596  ) 
(  38500.0 0.4275116920365915  ) 
(  39000.0 0.4128259060650889  ) 
(  39500.0 0.3984889437373507  ) 
(  40000.0 0.3844898446596145  ) 
(  40500.0 0.37081807556415775  ) 
(  41000.0 0.35746351048977304  ) 
(  41500.0 0.3444164120269472  ) 
(  42000.0 0.3316674135628768  ) 
(  42500.0 0.3192075024658652  ) 
(  43000.0 0.30702800415272297  ) 
(  43500.0 0.2951205669865808  ) 
(  44000.0 0.28347714795601103  ) 
(  44500.0 0.27208999908960435  ) 
(  45000.0 0.26095165456315045  ) 
(  45500.0 0.2500549184593602  ) 
(  46000.0 0.23939285314265596  ) 
(  46500.0 0.22895876821395805  ) 
(  47000.0 0.218746210012634  ) 
(  47500.0 0.20874895163484758  ) 
(  48000.0 0.1989609834394807  ) 
(  48500.0 0.18937650401460054  ) 
(  49000.0 0.17998991157911065  ) 
(  49500.0 0.1707957957957959  ) 
(  50000.0 0.16178892997341426  ) 
(  50500.0 0.15296426363685273  ) 
(  51000.0 0.14431691544562258  ) 
(  51500.0 0.13584216644215646  ) 
(  52000.0 0.12753545361246826  ) 
(  52500.0 0.11939236374276757  ) 
(  53000.0 0.11140862755658815  ) 
(  53500.0 0.1035801141178821  ) 
(  54000.0 0.09590282548638412  ) 
(  54500.0 0.08837289161233158  ) 
(  55000.0 0.08098656545836752  ) 
(  55500.0 0.07374021833714756  ) 
(  56000.0 0.0666303354538163  ) 
(  56500.0 0.059653511643131096  ) 
(  57000.0 0.05280644729157763  ) 
(  57500.0 0.04608594443536179  ) 
(  58000.0 0.039488903025658384  ) 
(  58500.0 0.03301231735297666  ) 
(  59000.0 0.026653272622938762  ) 
(  59500.0 0.02040894167618995  ) 
(  60000.0 0.014276581845548197  ) 
(  60500.0 0.008253531943867964  ) 
(  61000.0 0.0023372093764436053  ) 
(  61500.0 0  ) 
(  62000.0 0  ) 
(  62500.0 0  ) 
(  63000.0 0  ) 
(  63500.0 0  ) 
(  64000.0 0  ) 
(  64500.0 0  ) 
(  65000.0 0  ) 
(  65500.0 0  ) 
